Title,Date,Summary
Mayoritas Bitcoin Ternyata Sudah Tidak Aktif Lebih dari Enam Bulan,"Senin, 19 Agustus 2024","Dataon-chainmengungkapkan bahwa hampir tiga perempat dari total pasokan Bitcoin yang beredar tetap tersimpan dalamwalletpara pemegangnya selama setidaknya enam bulan terakhir.Berdasarkan data dariHODL Waves Glassnodeper 18 Agustus, sekitar 74% dari total pasokan Bitcoin berada dalam kondisi tidak aktif dan tetap tersimpan dalamwalletpara pemegang selama lebih dari enam bulan.Mayoritas holder memilih menyimpan Bitcoin lebih dari enam bulan."
Studi Ungkap 97% Proyek Meme Coin Alami Kegagalan pada 2024,"Senin, 19 Agustus 2024","Sebuah studi terbaru yang dilakukan olehChainPlaymengungkapkan bahwa 97% proyek meme coin mengalami kegagalan sepanjang tahun 2024.Studi ini menggunakan data dari Dexscreener yang mencakup 30.000 aset kripto untuk menilai kelangsungan hidup meme coin, terutama pada tiga blockchain populer termasuk Solana, Ethereum, dan Base.🚨 State of Memecoin 2024: High Risk, High Reward 🚨Memecoins: A rollercoaster of fortunes or a financial minefield?"
Dubai Akui Kripto untuk Bayar Gaji Pegawai,"Senin, 19 Agustus 2024","Pada 15 Agustus 2024, Pengadilan Dubai melalui Putusan Pengadilan Pertama secara resmi mengakui pembayaran gaji dalam bentuk kripto sebagai metode yang sah dalam kontrak kerja."
Justin Sun Luncurkan Launchpad Meme Coin SunPump,"Senin, 19 Agustus 2024","Justin Sun, pendiri blockchain Tron, meluncurkan SunPump, sebuah platformlaunchpadyang dirancang khusus untuk mempermudah pembuatan meme coin di jaringan Tron.SunPump diluncurkan pada 13 Agustus oleh Sun.io, platform DeFi yang memiliki keterkaitan erat dengan Sun."
5 Proyek Ekosistem TON yang Layak Diperhatikan Tahun 2024,"Senin, 19 Agustus 2024",The Open Network (TON)berhasil menarik perhatian para pengembang untuk membangun aplikasi di jaringan tersebut.
"Meme Coin DOGS Tentukan Jadwal Airdrop Baru, Catat Tanggalnya!","Senin, 19 Agustus 2024","DOGS, meme coin bertema anjing yang berbasis pada blockchain TON, telah mengumumkan penetapan tanggal baru untukToken Generation Event(TGE) serta distribusiairdroptoken $DOGS yang akan dimulai pada 23 Agustus pukul 19.00 WIB.Dalampengumumandi kanal komunitas Telegram pada 19 Agustus, tim pengembang DOGS menyatakan bahwa pengguna dapat mulai mengklaim token mereka diexchangeterpusat (CEX) dan Telegram Wallet dari tanggal 16 Agustus hingga 21 Agustus."
Lufina Permudah Akses Investasi Real Estat Melalui NFT,"Minggu, 18 Agustus 2024","Di era di mana teknologi terus mengganggu industri tradisional, Lufina muncul sebagai pengubah permainan dalam investasi real estat."
Exchange Kripto Bybit Berhasil Raih 40 Juta Pengguna!,"Sabtu, 17 Agustus 2024","Bybit,exchangekripto kedua di dunia berdasarkan volume perdagangan, berhasil meraup 40 juta pengguna terdaftar di seluruh dunia.Pencapaian ini menggarisbawahi pertumbuhan Bybit yang pesat dan memperkuat reputasinya sebagai platform pilihan bagi jutaan penggemar dan pedagang kripto di seluruh dunia.Gambar: Pencapaian Bybit sejaK 2018."
Floki Jalin Kemitraan dengan Klub Liga Inggris Nottingham Forest,"Sabtu, 17 Agustus 2024","Meme coin Flokiumumkan kemitraan dengan Nottingham Forest Football Club, salah satu tim Liga Primer Inggris (EPL)."
Arbitrum DAO Setujui Proposal Staking Token ARB,"Jumat, 16 Agustus 2024","Arbitrum DAO baru-baru ini meloloskan proposal tahap awal yang bertujuan untuk meningkatkan utilitas token ARB dan memperkuat keamanan tata kelola dalam ekosistemnya.Baca juga:Mengenal Arbitrum Proyek Layer-2 yang Curi PerhatianProposalini pertama kali diajukan oleh delegasi dari ekosistem Arbitrum, Frission, pada 21 Juni 2024, dan telah mendapatkan dukungan dengan 91% suara setuju dari lebih dari 25.000 partisipan.Disetujuinya proposal ini, membuat pemegang token ARB akan dapat melakukanstakingdan mendelegasikan token mereka untuk menerima token baru yaknistaked ARB.Token stARB ini akan mewakili kepemilikanstakingmereka dan memungkinkan penggabungan otomatis hadiah di masa depan, opsirestaking, serta kompatibilitas dengan aplikasi keuangan terdesentralisasi (DeFi).Baca juga:Franklin Templeton Hadirkan Dana Tokenisasi di ArbitrumStaking ARB untuk Memperoleh Keuntungan dan Menjaga Sistem Tata KelolaPelaksanaan proposal ini akan menggunakan sistem tokenliquid stakingdari Tally."
